Column,Data_Type,Non_Null_Count,Missing_Count,Missing_Percentage,Unique_Values,Column_Type
AISearchDevAdmired,str,35543,29894,45.68,1488,Categorical/Text
AISearchDevWantToWorkWith,str,36701,28736,43.91,2361,Categorical/Text
AIBen,str,36894,28543,43.62,113,Categorical/Text
AIComplex,str,37021,28416,43.42,5,Categorical/Text
OfficeStackAsyncAdmired,str,37204,28233,43.15,2661,Categorical/Text
AIAcc,str,37302,28135,43.0,5,Categorical/Text
AIChallenges,str,37531,27906,42.65,232,Categorical/Text
WebframeWantToWorkWith,str,38535,26902,41.11,11654,Categorical/Text
DatabaseAdmired,str,38557,26880,41.08,4051,Categorical/Text
OfficeStackAsyncWantToWorkWith,str,38966,26471,40.45,3801,Categorical/Text
MiscTechHaveWorkedWith,str,39443,25994,39.72,9288,Categorical/Text
TechDoc,str,40897,24540,37.5,113,Categorical/Text
AIEthics,str,41548,23889,36.51,126,Categorical/Text
PlatformHaveWorkedWith,str,42366,23071,35.26,5467,Categorical/Text
DatabaseWantToWorkWith,str,42558,22879,34.96,8478,Categorical/Text
BuildvsBuy,str,43358,22079,33.74,3,Categorical/Text
TechEndorse,str,43668,21769,33.27,386,Categorical/Text
ToolsTechAdmired,str,43997,21440,32.76,11804,Categorical/Text
AISearchDevHaveWorkedWith,str,44453,20984,32.07,2663,Categorical/Text
TBranch,str,44477,20960,32.03,2,Categorical/Text
AIThreat,str,44689,20748,31.71,3,Categorical/Text
OfficeStackSyncAdmired,str,44712,20725,31.67,2555,Categorical/Text
WebframeHaveWorkedWith,str,45161,20276,30.99,12235,Categorical/Text
BuyNewTool,str,45181,20256,30.95,215,Categorical/Text
SOPartFreq,str,45237,20200,30.87,6,Categorical/Text
AISent,str,45873,19564,29.9,6,Categorical/Text
ToolsTechWantToWorkWith,str,46084,19353,29.58,16549,Categorical/Text
Currency,str,46684,18753,28.66,142,Categorical/Text
OfficeStackSyncWantToWorkWith,str,46711,18726,28.62,3205,Categorical/Text
PurchaseInfluence,str,47406,18031,27.55,3,Categorical/Text
OrgSize,str,47480,17957,27.44,10,Categorical/Text
OfficeStackAsyncHaveWorkedWith,str,48093,17344,26.5,6014,Categorical/Text
LearnCodeOnline,str,49237,16200,24.76,10853,Categorical/Text
DatabaseHaveWorkedWith,str,50254,15183,23.2,9050,Categorical/Text
NEWCollabToolsAdmired,str,50711,14726,22.5,7545,Categorical/Text
LanguageAdmired,str,50872,14565,22.26,12335,Categorical/Text
YearsCodePro,str,51610,13827,21.13,52,Categorical/Text
NEWCollabToolsWantToWorkWith,str,52087,13350,20.4,9751,Categorical/Text
ToolsTechHaveWorkedWith,str,52482,12955,19.8,19883,Categorical/Text
OpSysProfessional use,str,52973,12464,19.05,2032,Categorical/Text
CodingActivities,str,54466,10971,16.77,118,Categorical/Text
RemoteWork,str,54806,10631,16.25,3,Categorical/Text
OfficeStackSyncHaveWorkedWith,str,55545,9892,15.12,5049,Categorical/Text
LanguageWantToWorkWith,str,55752,9685,14.8,22769,Categorical/Text
SurveyLength,str,56182,9255,14.14,3,Categorical/Text
SurveyEase,str,56238,9199,14.06,3,Categorical/Text
NEWCollabToolsHaveWorkedWith,str,57592,7845,11.99,14168,Categorical/Text
OpSysPersonal use,str,58174,7263,11.1,2488,Categorical/Text
Country,str,58930,6507,9.94,185,Categorical/Text
SOHow,str,58962,6475,9.9,111,Categorical/Text
SOComm,str,59163,6274,9.59,6,Categorical/Text
DevType,str,59445,5992,9.16,34,Categorical/Text
SOVisitFreq,str,59536,5901,9.02,5,Categorical/Text
SOAccount,str,59560,5877,8.98,3,Categorical/Text
LanguageHaveWorkedWith,str,59745,5692,8.7,23864,Categorical/Text
YearsCode,str,59869,5568,8.51,52,Categorical/Text
NEWSOSites,str,60286,5151,7.87,32,Categorical/Text
LearnCode,str,60488,4949,7.56,418,Categorical/Text
EdLevel,str,60784,4653,7.11,8,Categorical/Text
AISelect,str,60907,4530,6.92,3,Categorical/Text
MainBranch,str,65437,0,0.0,5,Categorical/Text
Age,str,65437,0,0.0,8,Categorical/Text
Employment,str,65437,0,0.0,110,Categorical/Text
Check,str,65437,0,0.0,1,Categorical/Text
ResponseId,int64,65437,0,0.0,65437,Numeric
